metric,connectome_minus_random_mean,connectome_minus_random_std
node_activity_gini,-0.03746480328405175,0.037975230475647964
node_top1_frac,-0.04382537993760923,0.007479171998110252
node_top5_frac,-0.059809352844086124,0.023034578881700754
node_top10_frac,-0.052595727727684304,0.03264210854936502
edge_usage_gini,-0.04456216776303945,0.009936380075437049
edge_top1_frac,-0.06953936678717246,0.006647821667505535
edge_top5_frac,-0.09117740763232397,0.01511839335565934
edge_top10_frac,-0.08525102162971136,0.019240167446926658
mean_total_activity_over_time,-48899.352624980645,2159.6539732831106
mean_temporal_variation,0.050472247858219334,0.08831325739925154
