model_kind,seed,iteration,elapsed_sec,task_loss,activity_abs_mean,gradient_norm,forward_sec,backward_plus_step_sec,iter_total_sec,finite
random,1,1,31.287312620999955,0.5196739435195923,0.6141969561576843,4.97247932848809,15.913584017000176,15.37360028299986,31.287184300000035,True
random,1,2,60.152548357000114,0.5009395480155945,0.593817412853241,0.6679837621329332,15.63016018899998,13.235003745000085,28.865163934000066,True
random,1,3,91.82691513999998,0.5067839026451111,0.5842835903167725,2.776828135248088,16.314648099999886,15.359650266000017,31.674298365999903,True
random,1,4,125.09009713599994,0.5091937184333801,0.5727982521057129,3.1836193062167975,15.923495419000119,17.339623041999857,33.263118460999976,True
random,1,5,157.93789319400003,0.5049023032188416,0.5609222650527954,2.206482385804531,15.83845746399993,17.009203050999986,32.847660514999916,True
random,1,6,192.404412977,0.5008684992790222,0.5505029559135437,0.7128968587532977,15.990369714000053,18.47599336899998,34.46636308300003,True
random,1,7,229.55288642999994,0.5009012818336487,0.542050302028656,0.8102340905242651,17.320775466999976,19.827611899999965,37.14838736699994,True
random,1,8,262.44757888999993,0.5032874345779419,0.5349478125572205,1.7362423851652173,16.416108569000016,16.478471409999884,32.8945799789999,True
random,1,9,293.25553289999993,0.5043789148330688,0.5285432934761047,1.9873589029522445,14.942898094999919,15.864917235999883,30.8078153309998,True
random,1,10,325.75687494800013,0.5031811594963074,0.5226725339889526,1.6520128156250968,15.338114878999932,17.163046280000117,32.50116115900005,True
